id,name,price,quantity,discount,priority,productType,type,imageUrl,description,createdAt,updatedAt,code
cmdp1kl120002vw2gq89vunxy,CANILLA CHOPERA PLÁSTICA RACORD 3/8,7193,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753380826/CANILLA-CHOPERA-PL%C3%81STICA-RACORD-3_8_1_s9vppl.jpg,"Canilla plástica para Barril modelo americano, ideal para tirar tu cerveza de forma práctica.",2025-07-29 21:21:14.87,2025-07-29 21:05:03.189,701
cmdp1nz0y0003vw2g8y7ffvwe,CARTUCHO DE CARBON ACTIVADO - REPUESTO - FILTRO,29187,1,No,1,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753381424/CARTUCHO_DE_CARBON_ACTIVADO_-_REPUESTO_-_FILTRO_rhcutj.webp,Repuesto para el filtro de carbón activado. Rendimiento del cartucho 20000 litros o 1 año de uso. Medida 10″.,2025-07-29 21:23:52.979,2025-07-29 21:21:43.01,40
cmdp1sao30004vw2g9392ybpl,CARTUCHO DE CELULOSA - 1 MICRON - FILTRO,11561,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753381791/CARTUCHO_DE_CELULOSA_-_1_MICRON_-_FILTRO_1_ijdwtq.jpg,"Cartucho de celulosa 1 Micrón de granulometría, para el filtrado de la bebida.",2025-07-29 21:27:14.691,2025-07-29 21:25:48.547,42
cmdp1uw1b0005vw2g7a3frvm5,CEPILLO PARA BOTELLAS - NACIONAL,9540,1,No,2,Insumo,Limpieza,https://res.cloudinary.com/drh0qrube/image/upload/v1753385579/CEPILLO_PARA_BOTELLAS_-_NACIONAL_refhql.jpg,Para limpiar botellas de cualquier tamaño.,2025-07-29 21:29:15.695,2025-08-08 19:18:53.027,53
cmdp1zkao0006vw2gu9kdoca6,CONECTOR BALL LOCK GAS - ROSCA NACIONAL,9883,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753386038/CONECTOR_BALL_LOCK_GAS_-_ROSCA_NACIONAL_NEGRO_2_gcjz3f.jpg,Conector ball lock para gas con rosca importado. Conector para barril tipo cornelius. Los barriles Cornelius vienen en estilos de bloqueo de pasador y bloqueo de bola y ambos son bastante útiles para los cerveceros caseros. Estos barriles tienen conexiones independientes para gas y cerveza. Este dispositivo de desconexión con cierre de bola para gas encaja perfectamente en la entrada de gas. Conecte una manguera de gas adecuada al extremo dentado de 1/4″ y la línea de gas estará lista. La base y la parte superior de color gris permiten identificar fácilmente que este dispositivo de desconexión con cierre de bola es solo para el lado del gas.,2025-07-29 21:32:53.761,2025-07-29 21:29:21.162,69
cmdp21ckz0007vw2gn48e01r9,CONECTOR BALL LOCK LIQUIDO - ROSCA NACIONAL,9885,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753385853/CONECTOR_BALL_LOCK_GAS_-_ROSCA_NACIONAL_1_fefipy.jpg,Conector ball lock para líquido color negro con rosca para salida de cerveza. Tiene en la salida un conducto (espiga) para acoplar manguera de 6 mm de cristal y abrazadera ya sea para conectar a una chopera o tan solo a una canilla. Industria nacional.,2025-07-29 21:34:17.076,2025-07-29 21:33:01.77,73
cmdp245re0008vw2g251wypmh,CUCHARON PLASTICO DE 65 CM. LARGO,5490,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753386366/CUCHARON_PLASTICO_DE_65_CM._LARGO_vivzqh.jpg,Cucharón plástico de 65 cm de largo para emplear en la elaboración de cerveza o cualquier otra bebida artesanal.,2025-07-29 21:36:28.202,2025-07-29 21:34:40.921,91	
cmdp27bif0009vw2gkotaj8xc,DENSIMETRO ESCALA DE 1.000 A 1.100,12877,1,No,2,Insumo,Instrumento,https://res.cloudinary.com/drh0qrube/image/upload/v1753387174/DENSIMETRO_ESCALA_DE_1.000_A_1.100_1_aa2k4g.jpg,"El densímetro es un instrumente utilizado para medir la densidad del mosto durante toda el proceso de elaboración de Cerveza. Escala de 1,000 a 1,100. Calibrado a 20° C y resistente hasta 75 ° C.",2025-07-29 21:38:55.623,2025-08-08 18:53:46.564,95
cmdp2jlz2000avw2gks1251qx,FERMENTADOR DE 25 LTS. C/ CANILLA,25490,1,No,1,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753825647/FERMENTADOR_DE_25_LTS._C._CANILLA_kigjdp.jpg,Fermentador de 25 litros con canilla y tapa superior a rosca. Plástico de excelente calidad.,2025-07-29 21:48:29.054,2025-07-29 21:52:22.333,127
cmdp2om42000bvw2gqzkxuz7q,LAVADOR DE BOTELLAS,10975,1,No,1,Insumo,Limpieza,https://res.cloudinary.com/drh0qrube/image/upload/v1753387630/LAVADOR_DE_BOTELLAS_osnhar.jpg,"Dispositivo que se coloca en una canilla con rosca de 1/2 pulgada y que sirve para lavar botellas mediante agua a presión. Tiene una válvula de corte que se acciona mediante la presión de la botella sobre la misma, permitiendo un uso rápido y cómodo. Fabricado a partir de Matricería de diseño de CIBART.",2025-07-29 21:52:22.333,2025-08-08 19:18:53.027,170
