id,name,price,quantity,discount,priority,productType,type,imageUrl,description,createdAt,updatedAt,code,stock
cmdp1kl120002vw2gq89vunxy,CANILLA CHOPERA PLÁSTICA RACORD 3/8,7963,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1760558603/Canilla-Chopera-Pl%C3%A1stica-Racord-3-8-_w22mme.jpg,"Canilla plástica para Barril modelo americano, ideal para tirar tu cerveza de forma práctica.",2025-07-29 21:21:14.87,2026-01-05 22:41:32.981,701,1
cmdp1nz0y0003vw2g8y7ffvwe,CARTUCHO DE CARBON ACTIVADO - REPUESTO - FILTRO,32311,1,No,1,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1760558594/Cartucho-de-Carb%C3%B3n-Activado_-Repuesto_-Filtro-_jzkyuh.jpg,Repuesto para el filtro de carbón activado. Rendimiento del cartucho 20000 litros o 1 año de uso. Medida 10″.,2025-07-29 21:23:52.979,2026-01-05 22:41:37.002,40,2
cmdp1sao30004vw2g9392ybpl,CARTUCHO DE CELULOSA - 1 MICRON - FILTRO,12798,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753381791/CARTUCHO_DE_CELULOSA_-_1_MICRON_-_FILTRO_1_ijdwtq.jpg,"Cartucho de celulosa 1 Micrón de granulometría, para el filtrado de la bebida.",2025-07-29 21:27:14.691,2025-12-16 01:10:08.889,42,1
cmdp1uw1b0005vw2g7a3frvm5,CEPILLO PARA BOTELLAS - NACIONAL,10562,1,No,2,Insumo,Limpieza,https://res.cloudinary.com/drh0qrube/image/upload/v1760558595/Cepillo-Nylon-para-Botellas-_zurdbk.jpg,Para limpiar botellas de cualquier tamaño.,2025-07-29 21:29:15.695,2026-01-05 22:41:39.515,53,8
cmdp1zkao0006vw2gu9kdoca6,CONECTOR BALL LOCK GAS - ROSCA NACIONAL,10941,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753386038/CONECTOR_BALL_LOCK_GAS_-_ROSCA_NACIONAL_NEGRO_2_gcjz3f.jpg,Conector ball lock para gas con rosca importado. Conector para barril tipo cornelius. Los barriles Cornelius vienen en estilos de bloqueo de pasador y bloqueo de bola y ambos son bastante útiles para los cerveceros caseros. Estos barriles tienen conexiones independientes para gas y cerveza. Este dispositivo de desconexión con cierre de bola para gas encaja perfectamente en la entrada de gas. Conecte una manguera de gas adecuada al extremo dentado de 1/4″ y la línea de gas estará lista. La base y la parte superior de color gris permiten identificar fácilmente que este dispositivo de desconexión con cierre de bola es solo para el lado del gas.,2025-07-29 21:32:53.761,2026-01-05 22:41:48.237,69,1
cmdp21ckz0007vw2gn48e01r9,CONECTOR BALL LOCK LIQUIDO - ROSCA NACIONAL,10943,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1753385853/CONECTOR_BALL_LOCK_GAS_-_ROSCA_NACIONAL_1_fefipy.jpg,Conector ball lock para líquido color negro con rosca para salida de cerveza. Tiene en la salida un conducto (espiga) para acoplar manguera de 6 mm de cristal y abrazadera ya sea para conectar a una chopera o tan solo a una canilla. Industria nacional.,2025-07-29 21:34:17.076,2026-01-05 22:41:49.243,73,1
cmdp245re0008vw2g251wypmh,CUCHARON PLASTICO DE 65 CM. LARGO,6078,1,No,2,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1760558593/Cuchara-Pl%C3%A1stica-65cm-_yoloty.jpg,Cucharón plástico de 65 cm de largo para emplear en la elaboración de cerveza o cualquier otra bebida artesanal.,2025-07-29 21:36:28.202,2025-12-16 01:10:08.889,91	,2
cmdp27bif0009vw2gkotaj8xc,DENSIMETRO ESCALA DE 1.000 A 1.100,13316,1,No,2,Insumo,Instrumento,https://res.cloudinary.com/drh0qrube/image/upload/v1753387174/DENSIMETRO_ESCALA_DE_1.000_A_1.100_1_aa2k4g.jpg,"El densímetro es un instrumente utilizado para medir la densidad del mosto durante toda el proceso de elaboración de Cerveza. Escala de 1,000 a 1,100. Calibrado a 20° C y resistente hasta 75 ° C.",2025-07-29 21:38:55.623,2026-01-05 22:41:52.753,95,18
cmdp2jlz2000avw2gks1251qx,FERMENTADOR DE 25 LTS. C/ CANILLA,28219,1,No,1,Insumo,Elemento,https://res.cloudinary.com/drh0qrube/image/upload/v1760558600/Fermentador-25lt-con-Canilla-_jxzwch.jpg,Fermentador de 25 litros con canilla y tapa superior a rosca. Plástico de excelente calidad.,2025-07-29 21:48:29.054,2026-01-05 22:41:55.766,127,1
cmdp2om42000bvw2gqzkxuz7q,LAVADOR DE BOTELLAS,15140,1,No,1,Insumo,Limpieza,no-imagen,"Dispositivo que se coloca en una canilla con rosca de 1/2 pulgada y que sirve para lavar botellas mediante agua a presión. Tiene una válvula de corte que se acciona mediante la presión de la botella sobre la misma, permitiendo un uso rápido y cómodo. Fabricado a partir de Matricería de diseño de CIBART.",2025-07-29 21:52:22.333,2025-12-16 01:10:08.889,170,1
cmdp2rogm000cvw2g98vvoqi5,"	LEVADURA BE-134 SAFALE X 11,5 GRS.",5567,"11,5 grs",No,2,Ingrediente,Levadura,https://res.cloudinary.com/dx5i98ab2/image/upload/v1761157720/Levadura-SafAle-11gr-BE-134-_m5lblr.jpg,"Tipo Ale. De alta atenuación y floculación lenta, se utiliza para las saisson, session, estilos de abadía, entre otras.",2025-07-29 21:54:45.527,2025-12-16 01:10:08.889,173	,126
cmdp2v3tn000dvw2gh4e3l9g1,"LEVADURA BE-256 SAFBREW X 11,5 GR",7336,"11,5 grs",No,1,Ingrediente,Levadura,no-imagen,"Tipo ale. De alta atenuación y floculación rápida, se utiliza para estilos belgas bien alcohólicos. También se usa para estilos como IPA, Triple, Porter, ambar y brown,entre otros.",2025-07-29 21:57:25.222,2026-01-05 22:42:09.481,175,123
cmdp2xfss000evw2ghoift44w,"LEVADURA K-97 X 11,5 GRS.",4755,"11,5 grs",No,1,Ingrediente,Levadura,no-imagen,"De tipo ale Alemana. Atenuación alta, floculación lenta y gravedad final alta. Para estilos Barley wine, trigo blanche, sasion, session, triple.",2025-07-29 21:59:14.236,2026-01-05 22:42:10.489,185,72
cmdp30bvt000fvw2grdo6gm49,"LEVADURA S-04 X 11,5 GRS.",5245,"11,5 grs",No,10,Ingrediente,Levadura,https://res.cloudinary.com/drh0qrube/image/upload/v1760558603/Levadura-S-04-11gr-_iozf6z.jpg,"Levadura English Ale, perfil de fermentación rápido. Notas afrutadas y florales bien equilibradas. Debido a su poder de floculación, tiende a producir cervezas con mayor claridad. Ideal para una amplia gama de ales americanas e inglesas incluidas las cervezas muy lupuladas y está especialmente adaptada a las cervezas acondicionadas en barril y a las fermentadas en tanques cilindro-cónicos.",2025-07-29 22:01:29.129,2026-01-05 22:42:11.999,193,7
cmdp333et000gvw2grqm2s0z2,"LEVADURA S-23 LAGER X 11,5 GRS",6514,"11,5 grs",No,2,Ingrediente,Levadura,https://res.cloudinary.com/drh0qrube/image/upload/v1760558604/Levadura-S-23-_bclfye.jpg,Levadura alemana para fermentación baja. Recomendada para la producción de lagers más afrutadas y con presencia de ésteres. Su perfil confiere a las cervezas una buena persistencia en boca.,2025-07-29 22:03:37.926,2025-12-16 01:10:08.889,195	,69
cmdp365ji000hvw2g6m7tkoq1,"LEVADURA S-33 SAFBREW X 11,5 GRS.",7024,"11,5 grs",No,2,Ingrediente,Levadura,https://res.cloudinary.com/drh0qrube/image/upload/v1760558605/Levadura-SafAle-11gr-S-33-_ewgeql.jpg,"Cepa con notas afrutadas, aporta una sensación en boca y cuerpo intensos a la cerveza. Ideal para cervezas belgas (estilos Rubia, Dubbel, Tripel, Quadrupel) y cervezas inglesas fuertes (ej. Stouts Imperiales). También es ideal para las IPAs de Nueva Inglaterra. Levadura con sedimentación media: no forma grumos sino una neblina pulverulenta cuando se resuspende en la cerveza.",2025-07-29 22:06:00.846,2026-01-05 22:42:14.008,197,104
cmdp392ht000ivw2gv6cub3ho,"LEVADURA T-58 SAFBREW X 11,5 GRS.",3202,"11,5 grs",No,2,Ingrediente,Levadura,https://res.cloudinary.com/drh0qrube/image/upload/v1760558606/Levadura-SafAle-11gr-T-58-_hmsccm.jpg,"De fermentación tipo Ale. Sirve para diferentes estilos como cervezas de abadía ya que produce fenoles frutados y florales. También sirve para estilos belgas y alemanes de trigo. Cepa especialmente seleccionada por el desarrollo de aromas especiados como clavo de olor y ésteres como banana, a veces apimentado. Levadura con buena sedimentación, no forma agregados y en cambio sí produce una turbidez pulverulenta cuando se re-suspende en la cerveza.",2025-07-29 22:08:16.865,2026-01-05 22:42:14.513,204,97
cmdp3cdwr000jvw2g027jorih,"LEVADURA US-05 X 11,5 GRS",5536,"11,5 grs",No,19,Ingrediente,Levadura,https://res.cloudinary.com/drh0qrube/image/upload/v1760558607/Levadura-US-05-11gr-_dmnezl.jpg,"De fermentación tipo Ale. Sirve para estilos americanos o cuando se desee aromas neutros a levadura. Levadura ale americana, que produce cervezas bien balanceadas, con baja concentración de diacetilo y un paladar final limpio y fresco. Forma una capa superficial y se caracteriza por permanecer en suspensión durante la fermentación. El rango de temperatura ideal para fermentar (según la web de Fermentis) es de 18°c a 28°c.",2025-07-29 22:10:51.627,2026-01-05 22:42:15.518,207,12
cmdp3ekjj000kvw2gmxc8w8bt,"LEVADURA W34/70 LAGER X 11,5 GRS",8351,"11,5 grs",No,0,Ingrediente,Levadura,https://res.cloudinary.com/drh0qrube/image/upload/v1753827143/LEVADURA-W34_70-LAGER-X-11_5-GRS_nnxvla.jpg,"Tipo lager para cervezas con aromas frutales y florales. Floculación rápida y alta atenuación; Se recomienda para la elaboración de estilos tales como Pils, Bock,Doppel bock, vienna,etc..",2025-07-29 22:12:33.536,2026-01-05 22:42:16.025,213,0
cmdp3ox5n000lvw2ga7ves3el,PASTILLAS CARBONATADORAS,3759,250 grs,No,1,Ingrediente,Ingrediente,https://res.cloudinary.com/drh0qrube/image/upload/v1760558617/Pastillas-Carbonatadoras-250gr-_xvlid2.jpg,Pastillas Carbonatadoras o Pastillas de azúcar para Carbonatar Cerveza. El paquete rinde aproximadamente para carbonatar alrededor de 40 litros de cerveza.,2025-07-29 22:20:36.444,2026-01-05 22:43:01.231,497,10
cmdp3s8ac000mvw2geq3vv8ec,PHMETRO PORTATIL DIGITAL SIMPLE USO,40191,1,No,1,Insumo,Instrumento,no-imagen,"Medidor de PH digital con resolución +/- 0,1 unidades para controlar el Ph de agua, maceración, mosto y cerveza.",2025-07-29 22:23:10.836,2026-01-05 22:43:01.734,500,1
cmdp3vrld000nvw2gp8p6ma3v,PININA CERVEZA OKCIDENTA DOBLE IPA KO BOTELLA 355,5399,355 ml,No,2,Cerveza,IPA,https://res.cloudinary.com/drh0qrube/image/upload/v1753827939/PININA_CERVEZA_OKCIDENTA_DOBLE_IPA_KO_BOTELLA_355_h0b6ad.jpg,Cerveza de color cobrizo y cremosa espuma blanca. Presentan intensos lúpulos norteamericanos. Cuenta con un cuerpo robusto con presencia de calor alcohólico y 80 IBUs de amargor pero es sorprendentemente tomable por su buen balance de maltas y su final seco.,2025-07-29 22:25:55.825,2026-01-05 22:43:02.906,652,1
cmdp3z6fd000ovw2g84atnewq,PININA CERVEZA OKCIDENTA HONEY LA JONY BOTELLA 355,3904,355 ml,No,2,Cerveza,Honey,https://res.cloudinary.com/drh0qrube/image/upload/v1753828078/PININA_CERVEZA_OKCIDENTA_HONEY_LA_JONY_BOTELLA_355_ttjeqi.jpg,"Honey Ale elaborada con la cantidad perfecta de miel de abeja Santafesina, rica en aromas florales y de tenue dulzor, que le provee el balance ideal a esta refrescante cerveza.",2025-07-29 22:28:35.017,2026-01-05 22:43:03.408,648,1
cmdp420fh000pvw2gw8l0ofrt,PININA CERVEZA OKCIDENTA IPA 449 BOTELLA 355,4940,355 ml,No,2,Cerveza,IPA,https://res.cloudinary.com/drh0qrube/image/upload/v1753828227/PININA_CERVEZA_OKCIDENTA_IPA_449_BOTELLA_355_o2wqr3.jpg,Cerveza de color dorado intenso y espuma blanca persistente. Tiene un cuerpo muy robusto y es intensamente lupulada con las mejores variedades de lúpulo del Noroeste de EEUU que le proveen un amargor limpio y final seco.,2025-07-29 22:30:47.214,2026-01-05 22:43:03.911,651,1
